OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
AUTO THEFT OTHER,240,240 Motor Vehicle Theft,Motor Vehicle Theft,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTO THEFT RECOVERY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E NON-RESIDENCE DAY - FORCIBLE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E NON-RESIDENCE DAY - NO FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E NON-RESIDENCE DAY - NO PROP TAKEN,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E NON-RESIDENCE NIGHT - FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E RESIDENCE DAY - NO FORCE,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E RESIDENCE DAY - NO PROP TAKEN,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&E RESIDENCE NIGHT - ATTEMPT FORCE,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLIST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
