OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: OTHER DANG WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,RITUALISM,AGG RITUAL MUT:HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,ASSAULT,AGGRAVATED - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,ASSAULT,AGGRAVATED - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,ASSAULT,SIMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,DOMESTIC BATTERY SIMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,OF UNBORN CHILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,PRO EMP HANDS NO/MIN INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,SIMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE / CUTTING INSTSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED OF AN UNBORN CHILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED PO: OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED POLICE OFFICER - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: HANDS / FIST / FEET NO / MINOR INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: HANDS / FIST / FEET SERIOUS INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13A,13A Aggravated assault,Assault Offenses,Crimes against person,BATTERY,AGGRAVATED: OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,OF AN UNBORN CHILD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13B,13B Simple assault,Assault Offenses,Crimes against person,BATTERY,PROTECTED EMPLOYEE: HANDS NO / MIN INJURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,BURGLARY,ATTEMPT FORCIBLE ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,BURGLARY,FORCIBLE ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,BURGLARY,HOME INVASION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,220 Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,BURGLARY,UNLAWFUL ENTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,CONCEALED CARRY LICENSE VIOLATION,ARMED WHILE UNDER THE INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,CONCEALED CARRY LICENSE VIOLATION,OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIM SEXUAL ASSAULT,PREDATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,LIBRARY VANDALISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO FIRE FIGHT.APP.EQUIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO STATE SUP PROP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO VEHICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,CRIMINAL DAMAGE,TO STATE SUPPORTED PROPERTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER FIREARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,AGGRAVATED: KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - HANDGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - KNIFE / CUTTING INSTRUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER DANGEROUS WEAPON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11U,11U Sexual Assault by Penetration (including rape),Sex Offenses,Crimes against person,CRIMINAL SEXUAL ASSAULT,PREDATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,CRIMINAL TRESPASS,TO AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,CRIMINAL TRESPASS,TO LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,CRIMINAL TRESPASS,TO RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,CRIMINAL TRESPASS,TO STATE SUP LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,CRIMINAL TRESPASS,TO VEHICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,ALTER COINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,FORGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,UNIDENTIFIABLE RECORDING SOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,270 Embezzlement,Embezzlement,Crimes against property,DECEPTIVE PRACTICE,EMBEZZLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,280,280 Stolen Property Offenses,Stolen Property Offenses,Crimes against property,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,DECEPTIVE PRACTICE,LIBRARY THEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,INSURANCE FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,PAY TV SERVICE OFFENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
